"Title","Description","BiocVersion","SourceUrl","SourceVersion","DataProvided","Maintainer","RDataClass","ResourceName"
" Clinical datasets from The Cancer Genome Atlas Project from 2016-01-28 "," Package provides clinical datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Clinical
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/
Clinical+Data+Overview. Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","ACC.clinical.20160128"
" Clinical datasets from The Cancer Genome Atlas Project from 2016-01-28 "," Package provides clinical datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Clinical
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/
Clinical+Data+Overview. Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","BLCA.clinical.20160128"
" Clinical datasets from The Cancer Genome Atlas Project from 2016-01-28 "," Package provides clinical datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Clinical
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/
Clinical+Data+Overview. Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","BRCA.clinical.20160128"
" Clinical datasets from The Cancer Genome Atlas Project from 2016-01-28 "," Package provides clinical datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Clinical
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/
Clinical+Data+Overview. Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","CESC.clinical.20160128"
" Clinical datasets from The Cancer Genome Atlas Project from 2016-01-28 "," Package provides clinical datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Clinical
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/
Clinical+Data+Overview. Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","CHOL.clinical.20160128"
" Clinical datasets from The Cancer Genome Atlas Project from 2016-01-28 "," Package provides clinical datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Clinical
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/
Clinical+Data+Overview. Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","COADREAD.clinical.20160128"
" Clinical datasets from The Cancer Genome Atlas Project from 2016-01-28 "," Package provides clinical datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Clinical
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/
Clinical+Data+Overview. Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","DLBC.clinical.20160128"
" Clinical datasets from The Cancer Genome Atlas Project from 2016-01-28 "," Package provides clinical datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Clinical
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/
Clinical+Data+Overview. Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","ESCA.clinical.20160128"
" Clinical datasets from The Cancer Genome Atlas Project from 2016-01-28 "," Package provides clinical datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Clinical
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/
Clinical+Data+Overview. Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","FPPP.clinical.20160128"
" Clinical datasets from The Cancer Genome Atlas Project from 2016-01-28 "," Package provides clinical datasets from The Cancer Genome Atlas
Project for all cohorts types from http://gdac.broadinstitute.org/. Clinical
data format is explained on NCI TCGA wiki https://wiki.nci.nih.gov/display/TCGA/
Clinical+Data+Overview. Data taken from 2016-01-28 release. All release dates are
available here http://gdac.broadinstitute.org/runs/ . ","3.4","http://gdac.broadinstitute.org/","2016-01-28","TCGA","Bioconductor Package Maintainer <maintainer@bioconductor.org>","data.frame","GBMLGG.clinical.20160128"
